year,month,volume_coffee_(tonnes),value_coffee_(kshs._millions),average_coffee_(kshs._per_tonne),volume_tea__(tonnes),value_tea_(kshs._millions),average_tea_(kshs._per_tonne),volume_horticulture__(tonnes),value_horticulture_(kshs._millions),average_horticulture_(kshs._per_tonne)
2024,March,4485.65,3528.04,786516.43,59599.15,19070.04,319971.69,81123.16,15928.47,196349.25
2024,December,2819.19,2025.08,718319.99,49731.26,13808.09,277654.11,66480.94,10919.32,164247.33
2024,April,5577.75,4111.96,737208.75,56263.44,17337.26,308144.4,63689.34,12036.43,188986.56
2024,September,5218.91,3561.24,682372.43,51935.51,14395.84,277186.77,73928.4,13918.86,188274.91
2024,August,5927.43,3859.65,651149.77,50821.46,14713.16,289506.85,78642.44,13853.28,176155.24
2024,February,2980.59,2284.11,766328.21,59043.65,20429.82,346012.09,72635.51,16965.45,233569.6
2024,May,4908.98,3747.46,763388.6,51575.28,15610.13,302666.93,83064.97,12876.5,155017.25
2024,January,3017.35,2413.71,799944.56,51187.58,18267.6,356875.66,54317.4,12232.17,225198.04
2024,October,3663.62,2536.86,692444.69,44652.1,12514.52,280267.32,68259.93,13112.64,192098.7
2024,June,5908.99,4211.56,712736.9,42894.74,11752.08,273974.93,55688.16,11495.97,206434.81
