,NFA,NDA,Reserve_Money,Currency_Circ,Bank_Reserves,SOE_Credit,Private_Credit,Gov_Credit,M2,M3
2014-01-01,436840.0,-56768.0,302321.0,197528.0,104793.0,,1504518.0,485582.0,1892935.0,2219443.0
2014-02-01,439090.0,-45446.0,315488.0,197682.0,117806.0,,1529663.0,491059.0,1926275.0,2223692.0
2014-03-01,445593.0,-62047.0,309812.0,198946.0,110866.0,,1557527.0,492119.0,1950769.0,2251459.0
2014-04-01,455053.0,-68227.0,315275.0,199734.0,115541.0,,1589945.0,463151.0,1972126.0,2292530.0
2014-05-01,439097.0,-39319.0,315344.0,196751.0,118593.0,,1622702.0,475320.0,2025073.0,2344653.0
2014-06-01,619111.0,-226200.0,323733.0,199966.0,123767.0,,1662573.0,501039.0,2039476.0,2352188.0
2014-07-01,559323.0,-178914.0,304654.0,206570.0,98084.0,,1685633.0,529943.0,2050003.0,2393050.0
2014-08-01,559794.0,-112160.0,357053.0,205927.0,151126.0,,1712041.0,522718.0,2097287.0,2457583.0
2014-09-01,555973.0,-157840.0,322756.0,200785.0,121971.0,,1743363.0,501387.0,2100498.0,2457433.0
2014-10-01,537616.0,-126427.0,348605.0,207518.0,141087.0,,1762815.0,505306.0,2126832.0,2466331.0
2014-11-01,532138.0,-137446.0,326498.0,210315.0,116183.0,,1792249.0,533194.0,2169192.0,2504480.0
2014-12-01,592486.0,-157374.0,379690.0,221930.0,157761.0,,1822899.0,516192.0,2199188.0,2539698.0
2015-01-01,571463.0,-155527.0,350152.0,212859.0,137294.0,-2.776,1875846.0,538880.0,2208320.0,2565069.0
2015-02-01,578452.0,-173242.0,351626.0,214127.0,137499.0,-3.317,1893949.0,551771.0,2257156.0,2627512.0
2015-03-01,573260.0,-171883.0,346280.0,218136.0,128144.0,-558.805,1900203.0,569835.0,2273853.0,2620220.0
2015-04-01,566253.0,-141262.0,353098.0,220196.0,132901.0,-30.76,1940686.0,585312.0,2316338.0,2687647.0
2015-05-01,570964.0,-149031.0,362730.0,219536.0,143194.0,-25.258,1991683.0,589745.0,2329099.0,2725481.0
2015-06-01,569050.0,-150368.0,368483.0,222178.0,146305.0,-28.787,2021045.0,581399.0,2384748.0,2791244.0
2015-07-01,561664.0,-111299.0,383330.0,229128.0,154202.0,-27.715,2066374.0,526349.0,2386498.0,2787659.0
2015-08-01,561415.0,-134283.0,367464.0,228228.0,139236.0,-51.234,2102617.0,511248.0,2412637.0,2815344.0
2015-09-01,532958.0,-107733.0,376697.0,221990.0,154707.0,-31.92788945,2134071.0,487885.0,2385988.0,2803412.0
2015-10-01,594189.0,-103890.0,433876.0,225946.0,207930.0,-31.14388945,2166793.0,527956.0,2454226.0,2852519.0
2015-11-01,584256.0,-130886.0,391071.0,229919.0,161151.0,-31.38888945,2185097.0,565115.0,2474020.0,2893571.0
2015-12-01,625036.0,-171904.0,392430.0,240931.0,151499.0,-101.1158895,2203036.0,580895.0,2520667.0,2947822.0
2016-01-01,618733.0,-183715.0,381879.0,224633.0,157246.0,-87.969,2205427.0,561612.0,2495794.0,2911002.0
2016-02-01,622664.0,-194731.0,383881.0,227828.0,156053.0,-94.09425945,2202470.0,623549.0,2525968.0,2928240.0
2016-03-01,644283.0,-188245.0,401900.0,231976.0,169924.0,-89.0379291,2206811.0,637042.0,2560901.0,2967178.0
2016-04-01,668202.0,-224874.0,384973.0,236080.0,148893.0,-106.6912394,2224356.0,667898.0,2590441.0,3001415.0
2016-05-01,667952.0,-205451.0,390401.0,231584.0,158817.0,25.70746801,2228668.0,695773.0,2605642.0,3021079.0
2016-06-01,697863.0,-241000.0,390186.0,234751.0,155435.0,135.2623147,2206400.0,722311.0,2640037.0,3067311.0
2016-07-01,686508.0,-238966.0,383650.0,238469.0,145182.0,70.85264123,2231152.0,703719.0,2617289.0,3038488.0
2016-08-01,684669.0,-213487.0,392625.0,238402.0,154223.0,88.07198812,2250902.0,695103.0,2620881.0,3059761.0
2016-09-01,690341.0,-225592.0,392829.0,232685.0,160143.0,96.14110127,2267119.0,726897.0,2633531.0,3078086.0
2016-10-01,681385.0,-214324.0,401771.0,246033.0,155738.0,115.3845156,2282614.0,717147.0,2640519.0,3064298.0
2016-11-01,647881.0,-191541.0,393108.0,247189.0,145919.0,125.8241027,2290973.0,724286.0,2645427.0,3086977.0
2016-12-01,624482.0,-158208.0,411145.0,262734.0,148411.0,140.3673163,2314275.0,695742.0,2649973.0,3062505.0
2017-01-01,628312.0,-172443.0,401298.0,242991.0,158307.0,15.28777358,2308783.0,677478.0,2622683.0,3053593.0
2017-02-01,630151.0,-180719.0,394842.0,244239.0,150604.0,33.56553786,2301498.0,675396.0,2642564.0,3081274.0
2017-03-01,700357.0,-231913.0,414947.0,245513.0,169434.0,41.32148135,2294943.0,708537.0,2702648.0,3144234.0
2017-04-01,761791.0,-289004.0,408213.0,250506.0,157706.0,27.71747905,2288988.0,726997.0,2753529.0,3205027.0
2017-05-01,753491.0,-278074.0,410535.0,247204.0,163331.0,-22.14213967,2290488.0,766389.0,2769982.0,3218597.0
2017-06-01,747541.0,-265049.0,401221.0,253787.0,147434.0,-24.28910413,2289330.0,818407.0,2789034.0,3251642.0
2017-07-01,707921.0,-220873.0,419641.0,261910.0,157732.0,-21.33502714,2293747.0,797905.0,2807999.0,3276934.0
2017-08-01,686594.0,-205881.0,422662.0,258430.0,164232.0,-21.91318018,2296976.0,814888.0,2816990.0,3287733.0
2017-09-01,696832.0,-212606.0,424522.0,250695.0,173826.0,-23.1293221,2322145.0,849177.0,2831268.0,3308889.0
2017-10-01,651654.0,-181858.0,416920.0,259865.0,157055.0,-18.33837116,2334454.0,837816.0,2826501.0,3298967.0
2017-11-01,637685.0,-162329.0,417428.0,263853.0,153575.0,-18.72073811,2360808.0,834395.0,2840210.0,3321615.0
2017-12-01,629216.0,-149049.0,438778.0,279159.0,159619.0,-23.85374059,2376455.0,817004.0,2858163.0,3338385.0
2018-01-01,637018.0,-155134.0,434555.0,258860.0,175696.0,-23.96954159,2355099.0,839043.0,2856764.0,3339772.0
2018-02-01,638095.0,-167611.0,419865.0,260326.0,159539.0,8.32545238,2348834.0,877644.0,2877351.0,3340151.0
2018-03-01,805300.0,-322513.0,418246.0,262622.0,155624.0,-26.88997887,2344255.0,872625.0,2881401.0,3356282.0
2018-04-01,826315.0,-341927.0,419270.0,261351.0,157919.0,-107.351587,2351179.0,881713.0,2923676.0,3400824.0
2018-05-01,817488.0,-329577.0,432966.0,260740.0,172225.0,-83.22014505,2371704.0,906567.0,2946237.0,3468046.0
2018-06-01,806013.0,-291980.0,432788.0,262504.0,170284.0,-87.81199091,2378354.0,954849.0,3004843.0,3586180.0
2018-07-01,799953.0,-280692.0,428413.0,267937.0,160476.0,-76.11835433,2383200.0,1001905.0,3030081.0,3603555.0
2018-08-01,775925.0,-254493.0,450500.0,268007.0,182493.0,-894.9710289,2385958.0,980815.0,3030029.0,3590783.0
2018-09-01,770111.0,-249432.0,449921.0,257695.0,192226.0,-1674.0,2403688.0,995560.0,3014103.0,3589975.0
2018-10-01,750661.0,-238725.0,447565.0,269219.0,178346.0,-1581.0,2423953.0,1014239.0,3052060.0,3604904.0
2018-11-01,733214.0,-209849.0,455043.0,271137.0,183906.0,-1565.0,2419181.0,1002758.0,3036381.0,3605786.0
2018-12-01,741125.0,-177397.0,492024.0,288299.0,203725.0,-1564.0,2418224.0,955472.0,3094524.0,3676329.0
2019-01-01,750943.0,-198378.0,457849.0,262376.0,195473.0,-1561.0,2419984.0,1013583.0,3096554.0,3683050.0
2019-02-01,747276.0,-222879.0,439614.0,265870.0,173744.0,-1563.0,2427242.0,1090537.0,3093739.0,3678544.0
2019-03-01,749086.0,-206453.0,456477.0,271923.0,184554.0,-1567.0,2449437.0,1073078.0,3189203.0,3765930.0
2019-04-01,744185.0,-194732.0,453893.0,274023.0,179870.0,-1560.0,2472970.0,1096450.0,3184902.0,3763661.0
2019-05-01,954761.0,-385847.0,485517.0,270490.0,215026.0,-1561.0,2488928.0,1085444.0,3197313.0,3773916.0
2019-06-01,944187.0,-338587.0,439771.0,249509.0,190262.0,-1558.0,2515311.0,1072578.0,3304597.0,3925042.0
2019-07-01,926787.0,-414668.0,423219.0,249060.0,174159.0,-1452.0,2533736.0,1104974.0,3258555.0,3875325.0
2019-08-01,893172.0,-406937.0,421007.0,242711.0,178297.0,-1449.0,2547021.0,1095549.0,3223715.0,3831822.0
2019-09-01,872780.0,-353579.0,407765.0,207066.0,200699.0,-1533.0,2578172.0,1047111.0,3236194.0,3843552.0
2019-10-01,862175.0,-364207.0,412724.0,227072.0,185652.0,-1587.0,2590161.0,1069684.0,3261815.0,3887174.0
2019-11-01,840745.0,-331043.0,427087.0,238893.0,188194.0,-1573.0,2612854.0,1088295.0,3219830.0,3832368.0
2019-12-01,834639.0,-300175.0,461093.0,258945.0,202148.0,-1649.0,2606470.0,1083994.0,3277832.0,3897552.0
2020-01-01,802126.0,-278221.0,441326.0,242056.0,199270.0,-1556.0,2608488.0,1121956.0,3294954.0,3906203.0
2020-02-01,793572.0,-254122.0,449679.0,241960.0,207720.0,-1552.0,2621207.0,1152860.0,3360369.0,3986468.0
2020-03-01,801768.0,-265600.0,445509.0,246779.0,198730.0,-1533.0,2688640.0,1171858.0,3412827.0,4055325.0
2020-04-01,795729.0,-258666.0,435756.0,243241.0,192514.0,-1522.0,2700826.0,1203965.0,3441204.0,4098713.0
2020-05-01,863357.0,-320691.0,432119.0,249439.0,182680.0,-1518.0,2703538.0,1227619.0,3479549.0,4151224.0
2020-06-01,919373.0,-360308.0,426882.0,257792.0,169091.0,-1522.0,2713499.0,1250597.0,3620421.0,4283046.0
2020-07-01,887729.0,-358639.0,444922.0,268506.0,176415.0,-1503.0,2750780.0,1361155.0,3638043.0,4307145.0
2020-08-01,844244.0,-273985.0,476505.0,268027.0,208477.0,-1501.0,2776806.0,1371978.0,3591377.0,4256049.0
2020-09-01,806241.0,-276865.0,452208.0,268121.0,184087.0,-1504.0,2797025.0,1405744.0,3588535.0,4252506.0
2020-10-01,763635.0,-217258.0,444961.0,272809.0,172151.0,-1501.0,2782693.0,1403667.0,3641885.0,4342037.0
2020-11-01,754869.0,-207250.0,461299.0,276498.0,184801.0,-1494.0,2816017.0,1404653.0,3657853.0,4373248.0
2020-12-01,739563.0,-169029.0,469864.0,290544.0,179321.0,-1499.0,2835602.0,1391296.0,3672819.0,4414885.0
2021-01-01,725886.0,-174120.0,442253.0,273798.0,168455.0,-1506.0,2858185.0,1413403.0,3666640.0,4423599.0
2021-02-01,704320.0,-159409.0,444764.0,280787.0,163977.0,-1483.0,2881873.0,1427562.0,3694005.0,4474731.0
2021-03-01,691775.0,-155394.0,450956.0,281586.0,169369.0,-1488.0,2877565.0,1452017.0,3691474.0,4472216.0
2021-04-01,661704.0,-112585.0,455392.0,276011.0,179381.0,-1520.0,2876952.0,1452777.0,3719894.0,4483860.0
2021-05-01,656309.0,-101325.0,469299.0,277923.0,191376.0,-1495.0,2884959.0,1479099.0,3738614.0,4485047.0
2021-06-01,837290.0,-244018.0,449795.0,277129.0,172665.0,-1475.0,2920232.0,1510597.0,3818721.0,4580405.0
2021-07-01,825445.0,-279922.0,459103.0,294871.0,164232.0,-1511.0,2913927.0,1552284.0,3867374.0,4626482.0
2021-08-01,777715.0,-191322.0,479614.0,288922.0,190692.0,-1535.0,2960182.0,1602797.0,3911486.0,4684017.0
2021-09-01,761929.0,-176718.0,478812.0,282844.0,195968.0,-1027.0,2994600.0,1627942.0,3856663.0,4627476.0
2021-10-01,736334.0,-150351.0,477568.0,284331.0,193237.0,-1029.0,3027929.0,1633484.0,3892334.0,4667011.0
2021-11-01,711504.0,-142136.0,482578.0,292019.0,190559.0,-1103.0,3061962.0,1674426.0,3891119.0,4690703.0
2021-12-01,701680.0,-83726.0,521619.0,310278.0,211341.0,-1106.0,3085632.0,1689607.0,3884730.0,4689439.0
2022-01-01,646399.0,-57976.0,493350.0,298969.0,194381.0,-1076.0,3128158.0,1739044.0,3849853.0,4644268.0
2022-02-01,613917.0,-16919.0,494175.0,297590.0,196585.0,-1071.0,3159804.0,1728377.0,3893301.0,4698298.0
